school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
Alcorn State University,Mississippi,17.0,2.9,2.2,3.6,3.6,3.4,3.5,3.2,3.1,2.5
Adams State University,Colorado,41.0,3.7,3.1,3.9,3.1,3.0,3.1,3.6,2.7,3.1
Academy of Art University,California,112.0,3.0,3.6,3.1,3.1,2.7,2.8,2.9,2.7,3.4
Alabama A&M University,Alabama,44.0,2.9,3.3,3.4,3.8,3.6,3.5,3.4,2.7,2.6
Adelphi University,New York,214.0,3.9,3.9,3.6,3.5,3.4,3.1,4.3,2.7,3.4
Alabama State University,Alabama,104.0,3.4,3.2,3.4,3.5,3.5,3.7,3.2,2.8,2.5
Agnes Scott College,Georgia,67.0,3.7,4.3,3.7,3.8,3.4,3.2,3.6,2.5,2.7
Air Force Institute of Technology,Ohio,3.0,3.7,3.3,3.0,4.3,1.3,1.3,5.0,2.3,2.3
Abraham Baldwin Agricultural College,Georgia,131.0,4.0,3.6,3.9,3.5,3.5,3.4,4.4,3.1,3.1
Bryn Athyn College,Pennsylvania,12.0,4.0,3.6,3.6,3.1,2.8,2.8,4.8,2.8,2.9
Abilene Christian University,Texas,167.0,3.9,3.0,3.9,3.7,3.5,3.4,4.1,3.0,3.5
Alaska Pacific University,Alaska,16.0,3.4,4.0,3.8,3.5,2.8,3.2,4.0,3.3,3.5
Albany College of Pharmacy and Health Sciences,New York,56.0,2.7,2.9,2.4,3.1,2.6,2.3,3.7,2.0,2.7
College of Idaho,Idaho,24.0,4.4,3.1,4.3,4.0,3.8,4.2,3.9,4.3,3.6
Albright College,Pennsylvania,65.0,3.2,2.7,3.3,3.4,3.3,3.2,2.4,2.5,2.8
Albion College,Michigan,68.0,3.6,2.4,3.6,3.9,3.8,3.6,3.2,2.8,2.7
Albany State University,Georgia,53.0,3.8,2.9,3.5,3.4,3.5,3.5,3.2,3.2,2.9
Albertus Magnus College,Connecticut,18.0,3.6,3.7,3.9,3.8,2.4,3.0,4.0,2.4,3.8
Alverno College,Wisconsin,65.0,4.1,4.0,3.9,3.9,3.3,3.5,3.6,3.0,3.7
Allegheny College,Pennsylvania,117.0,4.0,2.8,4.0,4.1,4.0,3.5,3.5,3.1,3.1
Anderson University,South Carolina,165.0,3.8,3.4,3.8,3.6,3.1,3.4,3.9,2.7,2.8
American International College,Massachusetts,48.0,2.7,1.7,3.0,2.6,2.9,2.8,1.8,2.5,2.6
Alvernia University,Pennsylvania,76.0,3.9,3.3,3.6,3.4,3.2,3.1,3.7,2.5,3.0
Alma College,Michigan,68.0,3.4,3.0,3.6,3.7,3.4,3.2,3.8,2.4,3.0
Alfred University,New York,75.0,3.2,2.7,3.6,3.4,3.4,3.1,3.6,2.1,2.2
Amherst College,Massachusetts,53.0,4.3,4.0,4.0,4.7,3.6,3.4,4.7,2.9,4.2
Anna Maria College,Massachusetts,48.0,2.8,2.8,2.8,2.8,2.4,2.4,3.3,2.0,2.6
Alice Lloyd College,Kentucky,20.0,3.4,2.4,3.2,3.2,2.5,2.7,4.0,2.7,2.5
Anderson University,Indiana,78.0,3.4,3.1,3.8,3.7,3.4,3.5,4.4,2.6,2.9
Angelo State University,Texas,165.0,3.7,3.4,3.9,3.5,3.2,3.4,4.3,3.0,3.1
Antioch University,Washington,16.0,2.6,3.9,3.7,3.1,2.4,2.6,3.8,2.5,3.2
Antioch University,New Hampshire,5.0,3.0,3.0,4.2,3.8,3.2,3.6,4.7,2.8,3.8
Antioch College,Ohio,7.0,3.4,3.9,3.9,4.1,3.3,3.7,4.7,4.0,3.3
Aquinas College,Michigan,92.0,3.8,4.4,3.8,3.5,3.1,3.2,3.6,2.6,3.2
Art Center College of Design,California,52.0,2.9,3.1,2.9,3.4,1.8,1.8,2.7,2.1,3.4
Appalachian State University,North Carolina,850.0,4.4,4.5,4.5,4.0,4.1,4.1,4.4,3.4,3.5
Arkansas Tech University,Arkansas,177.0,3.9,3.7,4.1,3.6,3.5,3.5,4.3,3.3,3.3
Asbury University,Kentucky,47.0,3.9,3.4,4.1,3.8,3.3,3.6,4.7,2.6,2.9
Art Academy of Cincinnati,Ohio,8.0,3.1,3.4,3.5,3.1,2.1,3.0,3.3,2.6,3.1
Asbury Theological Seminary,Kentucky,9.0,3.9,3.8,4.4,3.7,2.4,3.8,5.0,3.0,4.7
Ashland University,Ohio,105.0,4.0,3.4,4.0,3.9,3.5,3.3,4.3,4.2,2.7
Assumption University,Massachusetts,97.0,3.9,3.9,3.7,3.8,3.7,3.6,4.5,2.8,3.5
Auburn University at Montgomery,Alabama,184.0,3.6,3.8,3.7,3.5,3.0,3.0,3.7,2.7,3.4
Auburn University,Alabama,988.0,4.7,4.5,4.7,4.5,4.4,4.4,4.5,4.1,4.1
Augustana University,South Dakota,110.0,3.3,3.7,3.6,3.9,3.4,3.3,4.2,3.0,3.1
Augustana College,Illinois,164.0,4.1,3.2,4.0,4.0,3.8,3.7,3.2,2.9,1.9
Aurora University,Illinois,137.0,3.4,3.2,3.2,3.3,2.9,2.7,4.2,2.7,2.8
